,Time,N
354,3.54000,20.28493
355,3.55000,20.32550
356,3.56000,20.36615
357,3.57000,20.40688
358,3.58000,20.44769
359,3.59000,20.48859
360,3.60000,20.52957
361,3.61000,20.57062
362,3.62000,20.61177
363,3.63000,20.65299
364,3.64000,20.69430
365,3.65000,20.73568
366,3.66000,20.77716
367,3.67000,20.81871
368,3.68000,20.86035
369,3.69000,20.90207
370,3.70000,20.94387
371,3.71000,20.98576
372,3.72000,21.02773
373,3.73000,21.06979
374,3.74000,21.11193
375,3.75000,21.15415
376,3.76000,21.19646
377,3.77000,21.23885
378,3.78000,21.28133
379,3.79000,21.32389
380,3.80000,21.36654
381,3.81000,21.40927
382,3.82000,21.45209
383,3.83000,21.49499
384,3.84000,21.53798
385,3.85000,21.58106
386,3.86000,21.62422
387,3.87000,21.66747
388,3.88000,21.71081
389,3.89000,21.75423
390,3.90000,21.79774
391,3.91000,21.84133
392,3.92000,21.88501
393,3.93000,21.92878
394,3.94000,21.97264
395,3.95000,22.01659
396,3.96000,22.06062
397,3.97000,22.10474
398,3.98000,22.14895
399,3.99000,22.19325
400,4.00000,22.23764
401,4.01000,22.28211
402,4.02000,22.32668
403,4.03000,22.37133
404,4.04000,22.41607
405,4.05000,22.46090
406,4.06000,22.50583
407,4.07000,22.55084
408,4.08000,22.59594
409,4.09000,22.64113
410,4.10000,22.68641
411,4.11000,22.73179
412,4.12000,22.77725
413,4.13000,22.82280
414,4.14000,22.86845
415,4.15000,22.91419
416,4.16000,22.96001
417,4.17000,23.00593
418,4.18000,23.05195
419,4.19000,23.09805
420,4.20000,23.14425
421,4.21000,23.19053
422,4.22000,23.23692
423,4.23000,23.28339
424,4.24000,23.32996
425,4.25000,23.37662
426,4.26000,23.42337
427,4.27000,23.47022
428,4.28000,23.51716
429,4.29000,23.56419
430,4.30000,23.61132
431,4.31000,23.65854
432,4.32000,23.70586
433,4.33000,23.75327
434,4.34000,23.80078
435,4.35000,23.84838
436,4.36000,23.89608
437,4.37000,23.94387
438,4.38000,23.99176
439,4.39000,24.03974
440,4.40000,24.08782
441,4.41000,24.13599
442,4.42000,24.18427
443,4.43000,24.23263
444,4.44000,24.28110
445,4.45000,24.32966
446,4.46000,24.37832
447,4.47000,24.42708
448,4.48000,24.47593
449,4.49000,24.52488
450,4.50000,24.57393
451,4.51000,24.62308
452,4.52000,24.67233
453,4.53000,24.72167
454,4.54000,24.77112
455,4.55000,24.82066
456,4.56000,24.87030
457,4.57000,24.92004
458,4.58000,24.96988
459,4.59000,25.01982
460,4.60000,25.06986
461,4.61000,25.12000
462,4.62000,25.17024
463,4.63000,25.22058
464,4.64000,25.27102
465,4.65000,25.32156
466,4.66000,25.37221
467,4.67000,25.42295
468,4.68000,25.47380
469,4.69000,25.52474
470,4.70000,25.57579
471,4.71000,25.62695
472,4.72000,25.67820
473,4.73000,25.72956
474,4.74000,25.78101
475,4.75000,25.83258
476,4.76000,25.88424
477,4.77000,25.93601
478,4.78000,25.98788
479,4.79000,26.03986
480,4.80000,26.09194
481,4.81000,26.14412
482,4.82000,26.19641
483,4.83000,26.24880
484,4.84000,26.30130
485,4.85000,26.35390
486,4.86000,26.40661
487,4.87000,26.45942
488,4.88000,26.51234
489,4.89000,26.56537
490,4.90000,26.61850
491,4.91000,26.67174
492,4.92000,26.72508
493,4.93000,26.77853
494,4.94000,26.83209
495,4.95000,26.88575
496,4.96000,26.93952
497,4.97000,26.99340
498,4.98000,27.04739
499,4.99000,27.10148
500,5.00000,27.15569
501,5.01000,27.21000
502,5.02000,27.26442
503,5.03000,27.31895
504,5.04000,27.37358
505,5.05000,27.42833
506,5.06000,27.48319
507,5.07000,27.53815
508,5.08000,27.59323
509,5.09000,27.64842
510,5.10000,27.70371
511,5.11000,27.75912
512,5.12000,27.81464
513,5.13000,27.87027
514,5.14000,27.92601
515,5.15000,27.98186
516,5.16000,28.03782
517,5.17000,28.09390
518,5.18000,28.15009
519,5.19000,28.20639
520,5.20000,28.26280
521,5.21000,28.31933
522,5.22000,28.37596
523,5.23000,28.43272
524,5.24000,28.48958
525,5.25000,28.54656
526,5.26000,28.60365
527,5.27000,28.66086
528,5.28000,28.71818
529,5.29000,28.77562
530,5.30000,28.83317
531,5.31000,28.89084
532,5.32000,28.94862
533,5.33000,29.00652
534,5.34000,29.06453
535,5.35000,29.12266
536,5.36000,29.18090
537,5.37000,29.23927
538,5.38000,29.29774
539,5.39000,29.35634
540,5.40000,29.41505
541,5.41000,29.47388
542,5.42000,29.53283
543,5.43000,29.59190
544,5.44000,29.65108
545,5.45000,29.71038
546,5.46000,29.76980
547,5.47000,29.82934
548,5.48000,29.88900
549,5.49000,29.94878
550,5.50000,30.00868
551,5.51000,30.06869
552,5.52000,30.12883
553,5.53000,30.18909
554,5.54000,30.24947
555,5.55000,30.30997
556,5.56000,30.37059
557,5.57000,30.43133
558,5.58000,30.49219
559,5.59000,30.55317
560,5.60000,30.61428
561,5.61000,30.67551
562,5.62000,30.73686
563,5.63000,30.79833
564,5.64000,30.85993
565,5.65000,30.92165
566,5.66000,30.98349
567,5.67000,31.04546
568,5.68000,31.10755
569,5.69000,31.16977
570,5.70000,31.23211
571,5.71000,31.29457
572,5.72000,31.35716
573,5.73000,31.41987
574,5.74000,31.48271
575,5.75000,31.54568
576,5.76000,31.60877
577,5.77000,31.67199
578,5.78000,31.73533
579,5.79000,31.79880
580,5.80000,31.86240
581,5.81000,31.92612
582,5.82000,31.98998
583,5.83000,32.05396
584,5.84000,32.11807
585,5.85000,32.18230
586,5.86000,32.24667
587,5.87000,32.31116
588,5.88000,32.37578
589,5.89000,32.44053
590,5.90000,32.50541
591,5.91000,32.57042
592,5.92000,32.63557
593,5.93000,32.70084
594,5.94000,32.76624
595,5.95000,32.83177
596,5.96000,32.89743
597,5.97000,32.96323
598,5.98000,33.02916
599,5.99000,33.09521
