#t, S, I, R
1.001118 991.979832 7.818250 0.201918 
1.004899 991.950508 7.846392 0.203100 
1.008680 991.921078 7.874635 0.204287 
1.012461 991.891542 7.902981 0.205478 
1.016242 991.861898 7.931428 0.206673 
1.020024 991.832148 7.959979 0.207873 
1.023806 991.802290 7.988633 0.209077 
1.027587 991.772324 8.017391 0.210286 
1.031370 991.742249 8.046252 0.211499 
1.035152 991.712066 8.075218 0.212716 
1.038934 991.681773 8.104289 0.213938 
1.042717 991.651371 8.133464 0.215164 
1.046500 991.620859 8.162745 0.216395 
1.050283 991.590237 8.192133 0.217630 
1.054066 991.559504 8.221626 0.218870 
1.057849 991.528660 8.251226 0.220114 
1.061633 991.497704 8.280933 0.221363 
1.065417 991.466636 8.310748 0.222617 
1.069200 991.435455 8.340670 0.223874 
1.072985 991.404162 8.370701 0.225137 
1.076769 991.372756 8.400840 0.226404 
1.080553 991.341236 8.431089 0.227676 
1.084338 991.309601 8.461446 0.228952 
1.088123 991.277853 8.491914 0.230233 
1.091908 991.245989 8.522492 0.231519 
1.095693 991.214010 8.553180 0.232810 
1.099479 991.181916 8.583979 0.234105 
1.103264 991.149705 8.614890 0.235405 
1.107050 991.117378 8.645913 0.236709 
1.110836 991.084933 8.677048 0.238019 
1.114622 991.052371 8.708296 0.239333 
1.118409 991.019692 8.739656 0.240652 
1.122195 990.986894 8.771130 0.241976 
1.125982 990.953977 8.802719 0.243304 
1.129769 990.920941 8.834421 0.244638 
1.133556 990.887786 8.866238 0.245976 
1.137344 990.854510 8.898170 0.247320 
1.141131 990.821114 8.930218 0.248668 
1.144919 990.787597 8.962382 0.250021 
1.148707 990.753959 8.994662 0.251379 
1.152495 990.720199 9.027059 0.252742 
1.156283 990.686316 9.059574 0.254110 
1.160072 990.652311 9.092206 0.255483 
1.163861 990.618183 9.124956 0.256861 
1.167650 990.583931 9.157825 0.258244 
1.171439 990.549555 9.190813 0.259632 
1.175228 990.515055 9.223920 0.261025 
1.179018 990.480429 9.257147 0.262423 
1.182808 990.445679 9.290495 0.263827 
1.186598 990.410802 9.323963 0.265235 
1.190388 990.375799 9.357552 0.266649 
1.194178 990.340669 9.391263 0.268068 
1.197969 990.305412 9.425096 0.269492 
1.201760 990.270027 9.459052 0.270921 
1.205551 990.234514 9.493130 0.272356 
1.209342 990.198872 9.527332 0.273795 
1.213134 990.163101 9.561658 0.275240 
1.216926 990.127201 9.596108 0.276691 
1.220718 990.091170 9.630683 0.278146 
1.224510 990.055009 9.665384 0.279607 
1.228302 990.018717 9.700210 0.281073 
1.232095 989.982293 9.735162 0.282545 
1.235887 989.945737 9.770240 0.284022 
1.239680 989.909049 9.805446 0.285505 
1.243474 989.872228 9.840780 0.286992 
1.247267 989.835273 9.876241 0.288486 
1.251061 989.798185 9.911831 0.289985 
1.254855 989.760961 9.947550 0.291489 
1.258649 989.723603 9.983398 0.292999 
1.262443 989.686110 10.019376 0.294514 
1.266238 989.648480 10.055485 0.296035 
1.270033 989.610715 10.091724 0.297561 
1.273828 989.572812 10.128095 0.299093 
1.277623 989.534772 10.164598 0.300631 
1.281418 989.496593 10.201232 0.302174 
1.285214 989.458277 10.238000 0.303723 
1.289010 989.419821 10.274901 0.305278 
1.292806 989.381226 10.311936 0.306838 
1.296603 989.342491 10.349105 0.308404 
1.300399 989.303616 10.386409 0.309976 
1.304196 989.264599 10.423848 0.311553 
1.307993 989.225441 10.461422 0.313137 
1.311791 989.186141 10.499133 0.314726 
1.315588 989.146698 10.536981 0.316321 
1.319386 989.107113 10.574966 0.317922 
1.323184 989.067383 10.613088 0.319528 
1.326982 989.027510 10.651349 0.321141 
1.330781 988.987492 10.689749 0.322759 
1.334580 988.947328 10.728288 0.324384 
1.338379 988.907019 10.766967 0.326014 
1.342178 988.866564 10.805786 0.327650 
1.345977 988.825962 10.844746 0.329293 
1.349777 988.785212 10.883847 0.330941 
1.353577 988.744315 10.923090 0.332596 
1.357377 988.703269 10.962475 0.334256 
1.361178 988.662074 11.002003 0.335923 
1.364979 988.620730 11.041675 0.337596 
1.368780 988.579235 11.081490 0.339274 
1.372581 988.537590 11.121450 0.340959 
1.376382 988.495794 11.161555 0.342651 
1.380184 988.453846 11.201806 0.344348 
1.383986 988.411746 11.242202 0.346052 
1.387788 988.369493 11.282746 0.347762 
1.391591 988.327086 11.323436 0.349478 
1.395394 988.284525 11.364274 0.351201 
1.399197 988.241810 11.405260 0.352929 
1.403000 988.198940 11.446395 0.354665 
1.406803 988.155914 11.487680 0.356406 
1.410607 988.112732 11.529114 0.358154 
1.414411 988.069393 11.570698 0.359909 
1.418216 988.025897 11.612434 0.361669 
1.422020 987.982242 11.654321 0.363437 
1.425825 987.938429 11.696360 0.365211 
1.429630 987.894457 11.738552 0.366991 
1.433436 987.850325 11.780897 0.368778 
1.437241 987.806033 11.823396 0.370571 
1.441047 987.761580 11.866049 0.372371 
1.444853 987.716965 11.908857 0.374178 
1.448660 987.672189 11.951820 0.375991 
